INFO 2017-06-04 14:09:28  Charment de EntityManager
INFO 2017-06-04 14:09:28  Charment de ModelManager
INFO 2017-06-04 14:09:28  Charment de GridManager
INFO 2017-06-04 14:09:28  Charment de AddManager
INFO 2017-06-04 14:09:28  Charment de AppManager
INFO 2017-06-04 14:09:28  Charment de DataWsManager
INFO 2017-06-04 14:09:28  Charment de TransactionManager
INFO 2017-06-04 14:09:28  Charment de PersistanceManager
INFO 2017-06-04 14:09:28  Charment de JasperReportManager
INFO 2017-06-04 14:09:31  Charment de LoadAllTableAndView
INFO 2017-06-04 14:09:31  buildModel
INFO 2017-06-04 14:09:31  buildGrid
INFO 2017-06-04 14:09:31  buildApp
INFO 2017-06-04 14:09:33  buildDal
INFO 2017-06-04 14:09:34  DosetJavaClass
INFO 2017-06-04 14:09:34  buildDal
INFO 2017-06-04 14:09:34  buildDataWs
INFO 2017-06-04 14:09:34  buildDataWs
INFO 2017-06-04 14:09:34  buildAdd
INFO 2017-06-04 14:09:34  initMenuConfig
INFO 2017-06-04 14:09:34  t_alert_event  - TAlertEvent - str_Event null
INFO 2017-06-04 14:09:34             dtDateEnvoi Date false  null
INFO 2017-06-04 14:09:34             intMaxMessages Integer false  null
INFO 2017-06-04 14:09:34             strEvent String false  null
INFO 2017-06-04 14:09:34             bIsCommand Boolean false  null
INFO 2017-06-04 14:09:34             strSMSEnglishText String false  null
INFO 2017-06-04 14:09:34             decNumPercent BigDecimal false  null
INFO 2017-06-04 14:09:34             strMAILEnglishText String false  null
INFO 2017-06-04 14:09:34             bRowActive Boolean false  null
INFO 2017-06-04 14:09:34             strSMSFrenchText String false  null
INFO 2017-06-04 14:09:34             lgUIDWhoNew String false  null
INFO 2017-06-04 14:09:34             lgUIDWhoLastUpdate String false  null
INFO 2017-06-04 14:09:34             strMAILFrenchText String false  null
INFO 2017-06-04 14:09:34             dtLastEnterDate Date false  null
INFO 2017-06-04 14:09:34             strERRORCODE String false  null
INFO 2017-06-04 14:09:34  t_annonce  - TAnnonce - lg_ANNONCE_ID null
INFO 2017-06-04 14:09:34             lgANNONCEID String false  null
INFO 2017-06-04 14:09:34             strLIBELLE String false  null
INFO 2017-06-04 14:09:34             strMOTIF String false  null
INFO 2017-06-04 14:09:34             dtDATE Date false  null
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34  t_annonce_detail  - TAnnonceDetail - lg_ANNONCE_DETAIL_ID null
INFO 2017-06-04 14:09:34             lgANNONCEDETAILID String false  null
INFO 2017-06-04 14:09:34             lgANNONCEID TAnnonce true TAnnonce 1
INFO 2017-06-04 14:09:34             lgTRANCHESITEID TTrancheSite true TTrancheSite 64
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34  t_caisse  - TCaisse - lg_CAISSE_ID null
INFO 2017-06-04 14:09:34             lgCAISSEID String false  null
INFO 2017-06-04 14:09:34             intSOLDE Double false  null
INFO 2017-06-04 14:09:34             lgUSERID TUser true TUser 82
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             lgUPDATEDBY String false  null
INFO 2017-06-04 14:09:34             lgCREATEDBY String false  null
INFO 2017-06-04 14:09:34  t_calendar_type  - TCalendarType - id name
INFO 2017-06-04 14:09:34             id Integer false  null
INFO 2017-06-04 14:09:34             userId int false  null
INFO 2017-06-04 14:09:34             color String false  null
INFO 2017-06-04 14:09:34             creationDate Date false  null
INFO 2017-06-04 14:09:34             description String false  null
INFO 2017-06-04 14:09:34             hide Boolean false  null
INFO 2017-06-04 14:09:34             name String false  null
INFO 2017-06-04 14:09:34             updateDate Date false  null
INFO 2017-06-04 14:09:34  t_cash_transaction  - TCashTransaction - ID strDESCRIPTION
INFO 2017-06-04 14:09:34             id String false  null
INFO 2017-06-04 14:09:34             strTRANSACTIONREF String false  null
INFO 2017-06-04 14:09:34             intAMOUNT Integer false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             lgCREATEDBY String false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             lgUPDATEDBY String false  null
INFO 2017-06-04 14:09:34             strDESCRIPTION String false  null
INFO 2017-06-04 14:09:34             lgUSERID String false  null
INFO 2017-06-04 14:09:34             intAMOUNTDEBIT Integer false  null
INFO 2017-06-04 14:09:34             intAMOUNTCREDIT Integer false  null
INFO 2017-06-04 14:09:34             strNUMEROCOMPTE String false  null
INFO 2017-06-04 14:09:34             intAMOUNTREMIS Integer false  null
INFO 2017-06-04 14:09:34             intAMOUNTRECU Integer false  null
INFO 2017-06-04 14:09:34             lgTYPEREGLEMENTID TTypeReglement true TTypeReglement 79
INFO 2017-06-04 14:09:34             strRESSOURCEREF String false  null
INFO 2017-06-04 14:09:34  t_client  - TClient - lg_CLIENT_ID strFIRSTNAME
INFO 2017-06-04 14:09:34             lgCLIENTID String false  null
INFO 2017-06-04 14:09:34             strCODEINTERNE String false  null
INFO 2017-06-04 14:09:34             strFIRSTNAME String false  null
INFO 2017-06-04 14:09:34             strLASTNAME String false  null
INFO 2017-06-04 14:09:34             strNUMEROSECURITESOCIAL String false  null
INFO 2017-06-04 14:09:34             dtNAISSANCE Date false  null
INFO 2017-06-04 14:09:34             strSEXE String false  null
INFO 2017-06-04 14:09:34             strADRESSE String false  null
INFO 2017-06-04 14:09:34             strDOMICILE String false  null
INFO 2017-06-04 14:09:34             strAUTREADRESSE String false  null
INFO 2017-06-04 14:09:34             strCODEPOSTAL String false  null
INFO 2017-06-04 14:09:34             strCOMMENTAIRE String false  null
INFO 2017-06-04 14:09:34             lgTYPECLIENTID TTypeClient true TTypeClient 73
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             lgVILLEID TVille true TVille 84
INFO 2017-06-04 14:09:34             lgMEDECINID String false  null
INFO 2017-06-04 14:09:34  t_code_generic  - TCodeGeneric - lg_CODE_GENERIC_ID null
INFO 2017-06-04 14:09:34             lgCODEGENERICID String false  null
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             strCODEVALUE String false  null
INFO 2017-06-04 14:09:34             dtEXPIRATIONDATE Date false  null
INFO 2017-06-04 14:09:34             lgORDERID TOrder true TOrder 32
INFO 2017-06-04 14:09:34             bISARRIVE Boolean false  null
INFO 2017-06-04 14:09:34  t_code_passeport  - TCodePasseport - lg_CODE_ID null
INFO 2017-06-04 14:09:34             lgCODEID String false  null
INFO 2017-06-04 14:09:34             lgORDERID TOrder true TOrder 32
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             strCODEVALUE String false  null
INFO 2017-06-04 14:09:34             dtEXPIRATIONDATE Date false  null
INFO 2017-06-04 14:09:34  t_code_visa  - TCodeVisa - lg_CODE_ID null
INFO 2017-06-04 14:09:34             lgCODEID String false  null
INFO 2017-06-04 14:09:34             strSTATUT String false  null
INFO 2017-06-04 14:09:34             dtCREATED Date false  null
INFO 2017-06-04 14:09:34             dtUPDATED Date false  null
INFO 2017-06-04 14:09:34             strCODEVALUE String false  null
INFO 2017-06-04 14:09:34             dtEXPIRATIONDATE Date false  null
INFO 2017-06-04 14:09:34             lgORDERID TOrder true TOrder 32
INFO 2017-06-04 14:09:34             bISARRIVE Boolean false  null
INFO 2017-06-04 14:09:34             lgTYPEVISA TTypeVisa true TTypeVisa 80
INFO 2017-06-04 14:09:34  t_coffre_caisse  - TCoffreCaisse - ID_COFFRE_CAISSE null
